date,company,category,use_case,status,effect,partner,url
2024-12-25,三井化学,研究開発,生成AIを活用した特許チャットの開発,実証実験中,特許調査時間を80%削減,未記載,https://jp.mitsuichemicals.com/jp/release/2024/2024_1225/index.htm
2024-12-09,旭化成,研究開発・製造,生成AIを活用した新規用途探索の自動化と製造現場の技術伝承,運用中(2023年12月から),用途選別時間を約40%短縮、危険予知の精度向上,未記載,https://prtimes.jp/main/html/rd/p/000000168.000079452.html
2024-11-07,デクセリアルズ,研究開発,生成AIを用いた技術領域の自動可視化システムの構築,構築開始,新規事業探索の効率化と知見の組織化を目指す,三菱総合研究所,https://www.dexerials.jp/news/2024/news24053.html
2024-10-10,東京ガス,全社,生成AI搭載の社内アプリ「AIGNIS」の開発と利用開始,運用中,問い合わせ対応時間の削減とOne to Oneマーケティングの加速,NTTデータ,https://www.tokyo-gas.co.jp/news/topics/20241010-02.html
2024-10-07,大阪ガス,環境評価,生成AIを活用したカーボンクレジット評価システムの開発,開発中,カーボンクレジットの品質評価の効率化と精度向上を目指す,Amazon Web Services,https://aws.amazon.com/jp/blogs/news/osaka-gas-carbon-credit-rating-system-with-generative-ai-introduction-1/
2024-10-01,富士フイルム,全社,社内向け生成AIサービス「Fujifilm AIChat」によるDX推進・研究開発における材料探索（MI）・サービスエンジニア支援・診断レポート作成,本番運用,診断レポート作成時間2時間以内に短縮,未記載,https://ir.fujifilm.com/ja/investors/ir-materials/integrated-report/main/00/teaserItems1/01/linkList/0/link/fh_2024_allj_a4.pdf
2024-09-25,日本ペイント,全社,ChatGPTによる業務効率化（翻訳・文章添削・議事録作成・プログラムコード作成等12パターン）,全社展開準備中,非コア業務が半分以下に削減,未記載,https://www.yokogawa.co.jp/about/yokogawa/analytics-and-ai/blog/
2024-09-25,TOPPANエッジ,業務効率化,生成AIの回答精度向上を実現する新RAGサービスの共同開発,共同開発中,生成AIの回答精度が約2割向上,PKSHAグループ,https://www.holdings.toppan.com/ja/news/2024/09/newsrelease240925_2.html
2024-09-11,日東電工,業務改善,DataRobot生成AIソリューションの導入による業務プロセス改善,PoV完了,業務プロセスの効率化と品質向上を目指す,DataRobot,https://www.datarobot.com/jp/blog/nitto-explores-new-possibilities-with-introduction-of-datarobot-generation-ai-solution/
2024-08-08,AGC,全社,社内向け生成AI「ChatAGC」へのRAG機能追加(開発・製造・営業・戦略企画での活用),本番運用,過去の技術情報活用・トラブル対応・顧客ニーズ把握等の効率化,未記載,https://www.agc.com/news/detail/1207106_2148.html
2024-07-01,信越化学,研究開発,材料探索における生成AI活用（物質構造スクリーニング・自動白棒計算）,実施中,具体的な数値なし,未記載,https://www.shinetsu.co.jp/wp-content/uploads/2024/07/統合報告書2024（閲覧推奨）.pdf
